time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-03 00:00:00+00:00,270,38,2179,1039
2025-03-04 00:00:00+00:00,330,57,2610,1045
2025-03-05 00:00:00+00:00,153,58,2759,1117
2025-03-06 00:00:00+00:00,142,54,2369,907
2025-03-07 00:00:00+00:00,296,46,1885,707
2025-03-08 00:00:00+00:00,52,20,1028,544
2025-03-09 00:00:00+00:00,51,21,1328,729
2025-03-10 00:00:00+00:00,409,56,2681,996
2025-03-11 00:00:00+00:00,161,53,2260,962
2025-03-12 00:00:00+00:00,115,45,2563,1017
2025-03-13 00:00:00+00:00,219,43,2124,882
2025-03-14 00:00:00+00:00,202,40,2133,801
2025-03-15 00:00:00+00:00,53,31,966,579
2025-03-16 00:00:00+00:00,35,18,997,571
