url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,625,417
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,252,159
/openvinotoolkit/openvino_notebooks/wiki/Windows,223,116
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,128,92
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/llm-chatbot,99,68
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/vision-monodepth,94,63
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-chatbot/llm-chatbot.ipynb,83,46
/openvinotoolkit/openvino_notebooks/tree/latest,81,64
/openvinotoolkit/openvino_notebooks/wiki/Ubuntu,72,45
/openvinotoolkit/openvino_notebooks/pulls,67,17
