referrer,views_total,views_unique
Google,2130,1077
docs.openvino.ai,1453,417
github.com,974,250
notebooks.githubusercontent.com,488,191
medium.com,270,123
intel.com,240,128
Bing,227,68
colab.research.google.com,65,22
isus.jp,60,19
docs.ultralytics.com,51,17
